"POWER","getsockname","send","rename","shmget","unlink","getppid","close","brk","inotify_init1","open","getuid32","shmctl","time","poll","ioctl","writev","socket","chdir","clock_getres","getrlimit","dup2","clone","mprotect","prctl","sigreturn","uname","getpid","inotify_add_watch","sendmsg","recv","_llseek","set_robust_list","gettimeofday","stat64","fcntl64","chmod","munmap","getdents","inotify_rm_watch","geteuid32","connect","rt_sigprocmask","getresgid32","pipe","fstatfs64","execve","getpeername","getdents64","getresuid32","write","rt_sigaction","read","shmat","futex","listen","ftruncate","lstat64","getpgrp","set_thread_area","fstat64","recvmsg","madvise","eventfd2","access","clock_gettime","openat","getcwd","set_tid_address","statfs64","getgid32","waitpid","lgetxattr","fsync","mmap2","bind","getegid32","readlink"
"20.47438344755","3","12","2","0","0","1","829","142","1","1005","11","0","79","8340","14","2727","11","1","1","5","16","16","157","3","10","17","1","4","152","8648","72","6","8451","798","31","3","103","2","2","13","11","184","1","8","2","7","1","53","1","1329","141","5835","0","2077","0","7","456","1","7","484","256","1","95","299","27350","51","847","3","7","9","23","3","2","495","0","11","44"
"20.46002330701","3","12","2","0","0","1","840","139","1","1005","11","0","79","8438","16","2741","11","1","1","5","16","16","157","3","10","17","1","4","161","8700","72","6","8444","796","31","3","103","2","2","13","11","184","1","8","2","7","1","53","1","1439","141","5893","0","2155","0","7","456","1","7","484","274","1","106","299","27376","51","847","3","7","9","23","3","2","495","0","11","42"
"20.41746978044","3","12","2","0","0","1","837","145","1","1006","11","0","79","8397","14","2726","11","1","1","5","16","16","157","3","10","17","1","4","161","8674","72","6","8458","795","31","3","103","2","2","13","11","184","1","8","2","7","1","53","1","1398","141","5872","0","2175","0","7","456","1","7","485","270","1","101","299","27348","51","847","3","7","9","23","3","2","495","0","11","41"
"20.39141052537","3","12","2","0","0","1","836","137","1","1006","11","0","79","8425","18","2733","11","1","1","5","16","16","157","3","10","17","1","4","161","8687","72","6","8453","797","31","3","103","2","2","13","11","184","1","8","2","7","1","53","1","1402","141","5895","0","2159","0","7","456","1","7","485","274","1","101","299","27380","51","847","3","7","9","23","3","2","495","0","11","43"
"20.45277839643","3","12","2","0","0","1","833","122","1","1006","11","0","79","8423","16","2735","11","1","1","5","16","17","157","4","10","17","1","4","164","8692","72","7","8418","864","31","3","104","2","2","13","11","184","1","8","2","7","1","53","1","1379","141","5893","0","2165","0","7","464","1","7","485","276","1","98","299","27368","51","847","3","7","9","23","3","2","496","0","11","44"
"20.42572815167","3","12","2","0","0","1","837","136","1","1005","11","0","79","8414","14","2731","11","1","1","5","16","17","156","4","10","17","1","4","166","8683","72","7","8552","797","31","3","104","2","2","13","11","184","1","8","2","7","1","53","1","1412","141","5882","0","2167","0","7","464","1","7","485","274","1","102","298","27366","51","847","3","7","9","23","3","2","494","0","11","43"
"20.42802472758","3","12","2","0","0","1","842","127","1","1010","11","0","79","8427","16","2740","11","1","1","5","16","16","156","3","10","17","1","4","161","8698","72","6","8888","939","31","3","103","2","2","13","11","184","1","8","2","7","1","53","1","1408","141","5901","0","2141","0","7","462","1","7","490","272","1","102","298","27372","51","847","3","7","9","23","3","2","493","0","11","42"
"20.42703289338","3","12","2","0","0","1","849","157","1","1015","11","0","79","7948","16","2479","11","1","1","5","16","16","156","3","10","16","1","4","173","7930","72","6","9631","937","31","3","103","2","2","13","11","184","1","8","2","7","1","51","1","1448","141","5927","0","2368","0","7","499","1","7","495","288","1","105","298","27355","46","855","3","7","9","23","3","2","493","0","11","52"
"20.43333205734","3","12","2","0","0","1","846","157","1","1015","11","0","79","7954","16","2485","11","1","1","5","16","16","156","3","10","16","1","4","173","7956","72","6","9629","932","31","3","103","2","2","13","11","184","1","8","2","7","1","51","1","1423","141","5926","0","2308","0","7","499","1","7","495","286","1","102","298","27355","46","855","3","7","9","23","3","2","493","0","11","47"
"19.92567623188","3","12","3","0","0","1","778","96","1","967","11","0","80","5595","18","1674","11","1","1","5","16","17","156","4","10","12","1","4","131","5737","73","7","7828","774","31","4","112","2","2","13","11","184","1","8","3","7","1","51","1","1055","141","4765","0","1913","0","7","349","1","7","451","206","1","78","288","26421","46","425","3","7","9","23","3","3","499","0","11","32"
"19.92868250009","3","12","3","0","0","1","780","94","1","968","11","0","80","5569","10","1673","11","1","1","5","16","17","156","4","10","12","1","4","131","5692","73","7","7469","774","31","4","112","2","2","13","11","184","1","8","3","7","1","51","1","1047","141","4754","0","1948","0","7","349","1","7","452","206","1","79","288","26413","46","425","3","7","9","23","3","3","499","0","11","32"
"19.93399760992","3","12","3","0","0","1","780","96","1","967","11","0","80","5607","18","1681","11","1","1","5","16","17","156","4","10","12","1","4","131","5730","73","7","7689","774","31","4","112","2","2","13","11","184","1","8","3","7","1","51","1","1069","141","4775","0","1945","0","7","349","1","7","451","206","1","80","288","26425","46","425","3","7","9","23","3","3","499","0","11","32"
"19.92698053846","3","12","3","0","0","1","779","96","1","967","11","0","80","5626","16","1685","11","1","1","5","16","17","156","4","10","12","1","4","131","5771","73","7","7504","774","31","4","112","2","2","13","11","184","1","8","3","7","1","51","1","1058","141","4773","0","1937","0","7","349","1","7","451","206","1","79","288","26434","46","425","3","7","9","23","3","3","499","0","11","32"
