"POWER","getsockname","send","kill","unlink","close","brk","open","getuid32","time","poll","ioctl","writev","socket","chdir","getrlimit","pipe2","clone","mprotect","prctl","uname","recvfrom","getsockopt","sendmsg","recv","_llseek","gettimeofday","set_robust_list","stat64","fcntl64","munmap","getdents","connect","sendto","rt_sigprocmask","pipe","execve","setsockopt","getpeername","getdents64","write","rt_sigaction","read","futex","shutdown","set_thread_area","fstat64","lseek","statfs","recvmsg","madvise","access","clock_gettime","openat","getcwd","set_tid_address","getgid32","mmap2","ftruncate64","bind","readlink"
"19.96836","8","169743","17","4","116","4","247","14","2","276539","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106790","4","54","98","53","2","14","0","4","3","1","16","4","8","139724","3","36939","202592","4","1","77","0","1","204663","2","35","737572","5","0","1","4","121","4","0","7"
"19.94114","8","170047","17","4","116","4","247","14","2","277053","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106984","4","54","98","53","2","14","0","4","3","1","16","4","8","140039","3","36995","203048","4","1","77","0","1","205049","2","35","738927","5","0","1","4","121","4","0","7"
"19.939","8","170129","17","4","116","4","247","14","2","277154","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107033","4","54","98","53","2","14","0","4","3","1","16","4","8","140074","3","37016","203096","4","1","77","0","1","205140","2","35","739218","5","0","1","4","121","4","0","7"
"19.97218","9","170041","17","4","115","5","247","14","3","277030","1","44","13","0","1","4","3","35","3","10","1","4","3","49","2","106972","4","53","98","53","2","12","1","4","3","1","16","4","8","140054","3","36976","203069","4","1","77","0","1","205052","2","35","738880","5","0","1","4","122","4","1","7"
"19.9436","9","170165","17","4","115","5","247","14","3","277225","1","44","13","0","1","4","3","35","3","10","1","4","3","49","2","107068","4","53","98","53","2","12","1","4","3","1","16","4","8","140075","3","37018","203094","4","1","77","0","1","205181","2","35","739425","5","0","1","4","122","4","1","7"
"19.95053","9","170095","17","4","115","4","247","14","3","277105","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107013","4","53","98","53","2","12","1","4","3","1","16","4","8","140074","3","37005","203100","4","1","77","0","1","205111","2","35","739098","5","0","1","4","121","4","1","7"
"19.95273","9","169905","17","4","115","4","247","14","3","276784","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","106914","4","53","98","53","2","12","1","4","3","1","16","4","8","139814","3","36971","202719","4","1","77","0","1","204856","2","35","738273","5","0","1","4","121","4","1","7"
"19.93568","9","170211","17","4","115","4","247","14","3","277266","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107083","4","53","98","53","2","12","1","4","3","1","16","4","8","140138","3","37015","203189","4","1","77","0","1","205243","2","35","739539","5","0","1","4","121","4","1","7"
"19.9468","9","170079","17","4","115","4","247","14","3","277134","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107013","4","53","98","53","2","12","1","4","3","1","16","4","8","140074","3","37020","203098","4","1","77","0","1","205095","2","35","739144","5","0","1","4","121","4","1","7"
"19.93419","9","170005","17","4","115","4","247","14","3","277010","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","106951","4","53","98","53","2","12","1","4","3","1","16","4","8","140018","3","37015","203018","4","1","77","0","1","205007","2","35","738802","5","0","1","4","121","4","1","7"
"19.92967","9","170107","17","4","115","4","247","14","3","277161","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107026","4","53","98","53","2","12","1","4","3","1","16","4","8","140075","3","37021","203100","4","1","77","0","1","205123","2","35","739225","5","0","1","4","121","4","1","7"
