"POWER","getsockname","send","rename","shmget","unlink","getppid","close","brk","inotify_init1","open","getuid32","shmctl","time","poll","ioctl","writev","socket","chdir","clock_getres","getrlimit","dup2","clone","mprotect","prctl","sigreturn","uname","getpid","inotify_add_watch","sendmsg","recv","_llseek","set_robust_list","gettimeofday","stat64","fcntl64","chmod","munmap","tgkill","getdents","inotify_rm_watch","geteuid32","connect","rt_sigprocmask","getresgid32","pipe","fstatfs64","execve","getpeername","getdents64","getresuid32","write","rt_sigaction","read","shmat","futex","listen","ftruncate","lstat64","getpgrp","set_thread_area","fstat64","recvmsg","madvise","eventfd2","access","clock_gettime","openat","getcwd","set_tid_address","statfs64","getgid32","waitpid","lgetxattr","mmap2","fsync","ftruncate64","bind","getegid32","readlink"
"20.47052347819","3","12","1","0","0","1","760","106","1","939","11","0","68","50373","223","16436","11","1","1","5","16","18","158","5","10","16","1","7","106","60534","56","8","8021","1049","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1327","141","30344","0","1284","0","7","228","1","7","456","210","2","73","419","36655","51","573","3","7","9","23","3","481","1","0","0","11","45"
"20.41219272962","3","12","1","0","0","1","758","108","1","939","11","0","68","50435","223","16438","11","1","1","5","16","18","158","5","10","16","1","7","106","60915","56","8","7984","1049","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1329","141","30429","0","1269","0","7","228","1","7","456","212","2","71","419","36881","51","573","3","7","9","23","3","481","1","0","0","11","45"
"20.4263225223","3","12","1","0","0","1","755","110","1","937","11","0","68","50380","223","16435","11","1","1","5","16","18","157","5","10","16","1","7","106","60395","56","8","8007","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1313","141","30332","0","1286","0","7","228","1","7","455","210","2","69","418","36616","51","573","3","7","9","23","3","479","1","0","0","11","45"
"20.41602569419","3","12","1","0","0","1","757","108","1","938","11","0","68","50465","223","16457","11","1","1","5","16","18","157","5","10","16","1","7","106","60628","56","8","8077","1060","30","2","84","1","2","2","13","11","173","1","8","1","7","1","51","1","1301","141","30397","0","1326","0","7","229","1","7","456","210","2","70","418","36775","51","573","3","7","9","23","3","479","1","0","0","11","45"
"20.3936570609","3","12","1","0","0","1","744","106","1","933","11","0","68","50321","223","16434","11","1","1","5","16","18","157","5","10","16","1","7","97","60436","56","8","7983","1048","30","2","84","1","2","2","13","11","173","1","8","1","7","1","49","1","1222","141","30295","0","1203","0","7","229","1","7","451","192","2","63","418","36652","46","563","3","7","9","23","3","479","1","0","0","11","45"
"20.42629404537","3","12","1","0","0","1","753","106","1","933","11","0","68","50464","223","16454","11","1","1","5","16","18","157","5","10","16","1","7","106","60461","56","8","8060","1048","30","2","84","1","2","2","13","11","173","1","8","1","7","1","49","1","1330","141","30418","0","1257","0","7","229","1","7","451","210","2","72","418","36733","46","563","3","7","9","23","3","479","1","0","0","11","45"
"20.35339182911","3","12","1","0","0","1","712","85","1","911","11","0","68","50276","223","16407","11","1","1","5","16","18","157","5","10","16","1","7","69","61398","56","8","6709","968","30","2","86","1","2","2","13","11","173","1","8","1","7","1","49","1","1093","141","30299","0","923","0","8","205","1","7","432","148","2","49","418","36767","46","330","3","7","9","23","3","481","1","0","0","11","42"
"20.37479348211","3","12","1","0","0","1","712","85","1","909","11","0","68","50086","223","16373","11","1","1","5","16","18","157","5","10","16","1","7","69","61052","56","8","6697","968","30","2","84","1","2","2","13","11","173","1","8","1","7","1","49","1","1107","141","30179","0","922","0","7","205","1","7","431","148","2","51","418","36521","46","330","3","7","9","23","3","479","1","0","0","11","42"
"20.38008439183","3","12","1","0","0","1","712","83","1","909","11","0","68","50160","223","16374","11","1","1","5","16","18","157","5","10","16","1","7","69","61336","56","8","6697","968","30","2","84","1","2","2","13","11","173","1","8","1","7","1","49","1","1109","141","30254","0","941","0","7","205","1","7","431","148","2","51","418","36690","46","330","3","7","9","23","3","479","1","0","0","11","42"
"20.36493075395","3","12","1","0","0","1","712","81","1","909","11","0","68","50211","223","16409","11","1","1","5","16","18","157","5","10","16","1","7","69","61060","56","8","6706","968","30","2","84","1","2","2","13","11","173","1","8","1","7","1","49","1","1108","141","30258","0","955","0","7","205","1","7","431","150","2","51","418","36654","46","330","3","7","9","23","3","479","1","0","0","11","42"
